code,deck_limit,faction_code,faction_cost,flavor,illustrator,influence_limit,keywords,minimum_deck_size,pack_code,position,quantity,side_code,stripped_text,stripped_title,text,title,type_code,uniqueness,base_link,cost,memory_cost,strength,advancement_cost,agenda_points,trash_cost,faction,name,nrdb_key,num_ratings,ranking,rating,side,torb_id,Card Quality,Prospective Copies,Build-Around
30036,1,haas-bioroid,0,We are the light of tomorrow.,Zoe Cohen,,Research,,sg,36,3,corp,"When you score this agenda, gain click click click. You cannot score agendas for the remainder of the turn. Limit 1 per deck.",Luminal Transubstantiation,"When you score this agenda, gain [click][click][click]. You cannot score agendas for the remainder of the turn.
Limit 1 per deck.",Luminal Transubstantiation,agenda,False,,,,,3,2,,haas-bioroid,Luminal Transubstantiation,30036,94,63,1862,corp,1887,3,1,
31041,3,haas-bioroid,0,Perfection of form.,Krembler,,Research,,su21,41,3,corp,"When you score this agenda, place 1 agenda counter on it for each hosted advancement counter past 3. Hosted agenda counter: Add 1 card from Archives to HQ.",Project Vitruvius,"When you score this agenda, place 1 agenda counter on it for each hosted advancement counter past 3.
<strong>Hosted agenda counter:</strong> Add 1 card from Archives to HQ.",Project Vitruvius,agenda,False,,,,,3,2,,haas-bioroid,Project Vitruvius,31041,109,46,1898,corp,164,3,2,
33031,3,haas-bioroid,0,Ancient paradoxes are children's stories to the greatest minds ever designed.,Scott Uminga,,Security,,ms,31,3,corp,"When you score this agenda, you may derez 1 installed card.",Elivagar Bifurcation,"When you score this agenda, you may derez 1 installed card.",Élivágar Bifurcation,agenda,False,,,,,2,1,,haas-bioroid,Élivágar Bifurcation,33031,42,192,1688,corp,6075,3,2,
4053,3,jinteki,0,,Bruno Balixa,,Security,,mt,53,3,corp,"When you score Unorthodox Predictions, choose sentry, code gate or barrier. Subroutines on ice of the chosen type cannot be broken until the beginning of your next turn.",Unorthodox Predictions,"When you score Unorthodox Predictions, choose <strong>sentry</strong>, <strong>code gate</strong> or <strong>barrier</strong>. Subroutines on ice of the chosen type cannot be broken until the beginning of your next turn.",Unorthodox Predictions,agenda,False,,,,,3,1,,jinteki,Unorthodox Predictions,4053,107,847,1245,corp,341,0,,
4032,3,jinteki,0,"""They call it 'retirement'. I call it 'euthanasia'."" -Ken ""Express"" Tenma",Gong Studios,,Initiative,,st,32,3,corp,"When you score Clone Retirement, you may remove 1 bad publicity. When the Runner steals Clone Retirement, the Corp takes 1 bad publicity.",Clone Retirement,"When you score Clone Retirement, you may remove 1 bad publicity.
When the Runner steals Clone Retirement, the Corp takes 1 bad publicity.",Clone Retirement,agenda,False,,,,,2,1,,jinteki,Clone Retirement,4032,109,595,1411,corp,320,1,0,
6063,3,jinteki,0,,Lili Ibrahim,,Security,,uao,63,3,corp,Place 2 power counters on Labyrinthine Servers when you score it. Hosted power counter: Prevent the Runner from jacking out. The Runner cannot jack out for the remainder of this run.,Labyrinthine Servers,"Place 2 power counters on Labyrinthine Servers when you score it.
<strong>Hosted power counter:</strong> Prevent the Runner from jacking out. The Runner cannot jack out for the remainder of this run.",Labyrinthine Servers,agenda,False,,,,,5,3,,jinteki,Labyrinthine Servers,6063,114,646,1375,corp,526,1,1,
8013,3,jinteki,0,"""The best part of our work is that nothing is ever wasted. A gene that is useful once will surely be useful again."" -Wong Ya Ching",Rovina Cai,,Research,,val,13,3,corp,"When you score Genetic Resequencing, you may place 1 agenda counter on an agenda in your score area.",Genetic Resequencing,"When you score Genetic Resequencing, you may place 1 agenda counter on an agenda in your score area.",Genetic Resequencing,agenda,False,,,,,3,1,,jinteki,Genetic Resequencing,8013,109,742,1315,corp,651,1,0,
10105,3,jinteki,0,"They eat us, we eat them, the cycle goes on and on. -Omar Keung, ""the Flashpoint""",Johnny Morrow,,Research,,ftm,105,3,corp,"When Improved Protein Source is scored or stolen, the Runner gains 4 credits.",Improved Protein Source,"When Improved Protein Source is scored or stolen, the Runner gains 4[credit].",Improved Protein Source,agenda,False,,,,,4,3,,jinteki,Improved Protein Source,10105,101,715,1332,corp,918,1,1,
11052,3,jinteki,0,,Priscilla Kim,,Security,,es,52,3,corp,"When you score Project Kusanagi, place 1 agenda counter on it for each advancement token on it over 2. Hosted agenda counter: Choose 1 piece of ice to gain ""Subroutine Do 1 net damage."" after all its other subroutines for the remainder of this run.",Project Kusanagi,"When you score Project Kusanagi, place 1 agenda counter on it for each advancement token on it over 2.
<strong>Hosted agenda counter:</strong> Choose 1 piece of ice to gain ""[subroutine] Do 1 net damage."" after all its other subroutines for the remainder of this run.",Project Kusanagi,agenda,False,,,,,2,0,,jinteki,Project Kusanagi,11052,88,766,1297,corp,979,1,0,
12092,3,jinteki,0,"""As you'll see on page 276, section CDXXIX, paragraph 47, line 102 of your contract, you are overdue for your seed upgrade, and all growth from out of date seed is to be confiscated and destroyed.""",Ed Mattinian,,Security,,fm,92,3,corp,"When you score Mandatory Seed Replacement, rearrange any number of ice protecting all servers.",Mandatory Seed Replacement,"When you score Mandatory Seed Replacement, rearrange any number of ice protecting all servers.",Mandatory Seed Replacement,agenda,False,,,,,4,2,,jinteki,Mandatory Seed Replacement,12092,112,845,1247,corp,1139,0,0,
12093,3,jinteki,0,AgInfusion doesn't just have patents on nearly every plant seed that is farmed on Mars—they own most of the rights to the water that the farms use.,Mark Molnar,,Initiative,,fm,93,3,corp,The install cost of each non-virtual resource is increased by 1.,Water Monopoly,The install cost of each non-<strong>virtual</strong> resource is increased by 1.,Water Monopoly,agenda,False,,,,,3,1,,jinteki,Water Monopoly,12093,104,838,1254,corp,1140,0,0,
26040,3,jinteki,0,,Krembler,,Research,,df,40,3,corp,"When you score this agenda, place 1 agenda counter on it for each hosted advancement counter past 3. Hosted agenda counter: Swap 1 card from HQ with 1 card in the root of or protecting the attacked server. The Runner may jack out. Use this ability only during a run.",Project Yagi-Uda,"When you score this agenda, place 1 agenda counter on it for each hosted advancement counter past 3.
<strong>Hosted agenda counter:</strong> Swap 1 card from HQ with 1 card in the root of or protecting the attacked server. The Runner may jack out. Use this ability only during a run.",Project Yagi-Uda,agenda,False,,,,,3,2,,jinteki,Project Yagi-Uda,26040,106,265,1639,corp,1730,1,2,
5005,3,jinteki,0,"""You won't feel it. Or anything else, for that matter.""",Gong Studios,,Research,,hap,5,3,corp,Lower the advancement requirement of each Medical Breakthrough by 1. This ability is active even while Medical Breakthrough is in the Runner's score area.,Medical Breakthrough,Lower the advancement requirement of each Medical Breakthrough by 1. This ability is active even while Medical Breakthrough is in the Runner's score area.,Medical Breakthrough,agenda,False,,,,,4,2,,jinteki,Medical Breakthrough,5005,116,284,1620,corp,413,2,3,
10088,3,jinteki,0,,Emilio Rodriguez,,Initiative - Psi,,tlm,88,3,corp,"The first time there is a successful run on HQ each turn, you and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, you choose which cards the Runner accesses from HQ for the remainder of this run.",Dedicated Neural Net,"The first time there is a successful run on HQ each turn, you and the Runner secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits, you choose which cards the Runner accesses from HQ for the remainder of this run.",Dedicated Neural Net,agenda,False,,,,,3,1,,jinteki,Dedicated Neural Net,10088,107,668,1361,corp,901,2,1,
20094,3,jinteki,0,,Gong Studios,,Research,,core2,78,3,corp,"When you score Braintrust, place 1 agenda counter on it for every 2 advancement tokens on it over 3. The rez cost of all ice is lowered by 1 for each agenda counter on Braintrust.",Braintrust,"When you score Braintrust, place 1 agenda counter on it for every 2 advancement tokens on it over 3.
The rez cost of all ice is lowered by 1 for each agenda counter on Braintrust.",Braintrust,agenda,False,,,,,3,2,,jinteki,Braintrust,20094,115,290,1616,corp,127,2,2,
21094,3,jinteki,0,"Quicker and deadlier than ever imagined, the trial was an outstanding success.",Michał Miłkowski,,Research - Security,,win,94,3,corp,"When the turn on which you scored Viral Weaponization ends, do 1 net damage for each card in the grip.",Viral Weaponization,"When the turn on which you scored Viral Weaponization ends, do 1 net damage for each card in the grip.",Viral Weaponization,agenda,False,,,,,4,2,,jinteki,Viral Weaponization,21094,114,317,1597,corp,1450,2,2,
22035,3,jinteki,0,"""Jumon, all too Jumon...""",Mariusz Siergiejew,,Research,,rar,35,3,corp,"When your turn ends, place 2 advancement counters on 1 card in the root of a remote server.",Jumon,"When your turn ends, place 2 advancement counters on 1 card in the root of a remote server.",Jumon,agenda,False,,,,,6,2,,jinteki,Jumon,22035,105,510,1462,corp,1511,2,2,
25088,1,jinteki,0,,Ed Mattinian,,Security,,sc19,88,1,corp,"When you score Philotic Entanglement, do 1 net damage for each agenda in the Runner's score area. Limit 1 Philotic Entanglement per deck.",Philotic Entanglement,"When you score Philotic Entanglement, do 1 net damage for each agenda in the Runner's score area.
Limit 1 Philotic Entanglement per deck.",Philotic Entanglement,agenda,True,,,,,3,2,,jinteki,Philotic Entanglement,25088,120,113,1788,corp,414,2,1,
26041,3,jinteki,0,"""'It is my nature,' said the scorpion.""
-Conceptual Frameworks in Bio-Ethics and Synthetic Morality, Moser University Press",Krembler,,Ambush,,df,41,3,corp,"When a player scores or steals this agenda, do X net damage. X is equal to the number of copies of Sting! in the other player's score area plus 1.",Sting!,"When a player scores or steals this agenda, do X net damage. X is equal to the number of copies of Sting! in the other player's score area plus 1.",Sting!,agenda,False,,,,,3,1,,jinteki,Sting!,26041,106,101,1803,corp,1731,2,3,
26106,3,jinteki,0,"""Voice is a sledgehammer. Text, a blunt saw. Truth requires subtler instruments.""
-Dr. Tang, Address to the Hyoubu Steering Committee",N. Hopkins,,,,ur,106,3,corp,"When you score this agenda, place 5 agenda counters on it. Hosted agenda counter: Reveal the top card of R&D. Draw 2 cards. Add 1 card from HQ to the top of R&D. Use this ability only once per turn.",Flower Sermon,"When you score this agenda, place 5 agenda counters on it.
<strong>Hosted agenda counter:</strong> Reveal the top card of R&D. Draw 2 cards. Add 1 card from HQ to the top of R&D. Use this ability only once per turn.",Flower Sermon,agenda,False,,,,,4,2,,jinteki,Flower Sermon,26106,118,363,1559,corp,1796,2,2,
30044,1,jinteki,0,We make you anew.,N. Hopkins,,Research,,sg,44,3,corp,"When you score this agenda, trash any number of cards from HQ. Shuffle up to 3 cards from Archives into R&D. Limit 1 per deck.",Longevity Serum,"When you score this agenda, trash any number of cards from HQ. Shuffle up to 3 cards from Archives into R&D.
Limit 1 per deck.",Longevity Serum,agenda,False,,,,,3,2,,jinteki,Longevity Serum,30044,116,252,1646,corp,1895,2,1,
31051,3,jinteki,0,The payment for entry is a mere drop of blood.,Zoe Cohen,,Security,,su21,51,3,corp,"When you score this agenda, place 3 agenda counters on it. Hosted agenda counter: Do 1 net damage. Use this ability only during a run and only once per run.",House of Knives,"When you score this agenda, place 3 agenda counters on it.
<strong>Hosted agenda counter:</strong> Do 1 net damage. Use this ability only during a run and only once per run.",House of Knives,agenda,False,,,,,3,1,,jinteki,House of Knives,31051,103,129,1764,corp,412,2,3,
33039,3,jinteki,0,Some tests require <strong>specific</strong> conditions.,Scott Uminga,,Research,,ms,39,3,corp,X is equal to the number of cards in the Runner's grip.,Blood in the Water,X is equal to the number of cards in the Runner's grip.,Blood in the Water,agenda,False,,,,,,2,,jinteki,Blood in the Water,33039,41,189,1691,corp,6083,2,2,
5007,3,jinteki,0,,Christina Davis,,Initiative - Psi,,hap,7,3,corp,"When the Runner accesses The Future Perfect, you and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, prevent The Future Perfect from being stolen. Ignore this ability if the Runner accesses The Future Perfect while it is installed.",The Future Perfect,"When the Runner accesses The Future Perfect, you and the Runner secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits, prevent The Future Perfect from being stolen. Ignore this ability if the Runner accesses The Future Perfect while it is installed.",The Future Perfect,agenda,False,,,,,5,3,,jinteki,The Future Perfect,5007,123,85,1822,corp,415,3,2,
12070,3,jinteki,0,"""Proper application of stress can create the most profound changes."" - Tennin Institute Intern Brief",Jan-Wah Li,,Ambush,,baw,70,3,corp,"As an additional cost to steal Obokata Protocol, the Runner must suffer 4 net damage.",Obokata Protocol,"As an additional cost to steal Obokata Protocol, the Runner must suffer 4 net damage.",Obokata Protocol,agenda,False,,,,,5,3,,jinteki,Obokata Protocol,12070,104,23,1954,corp,1117,3,2,
21033,3,jinteki,0,,Pavel Kolomeyets,,Research,,dtwn,33,3,corp,"When Bacterial Programming is scored or stolen, you may look at the top 7 cards of R&D, add any number of them to HQ, trash any number of them, and arrange the rest in any order.",Bacterial Programming,"When Bacterial Programming is scored or stolen, you may look at the top 7 cards of R&D, add any number of them to HQ, trash any number of them, and arrange the rest in any order.",Bacterial Programming,agenda,False,,,,,5,3,,jinteki,Bacterial Programming,21033,115,211,1675,corp,1389,3,2,
25086,3,jinteki,0,,Eko Puteh,,Ambush,,sc19,86,2,corp,"While the Runner is accessing this agenda in R&D, they must reveal it. When the Runner accesses this agenda anywhere except in Archives, do 2 net damage. As an additional cost to steal this agenda, the Runner must pay 2 credits.",Fetal AI,"While the Runner is accessing this agenda in R&D, they must reveal it.
When the Runner accesses this agenda anywhere except in Archives, do 2 net damage.
As an additional cost to steal this agenda, the Runner must pay 2[credit].",Fetal AI,agenda,False,,,,,5,2,,jinteki,Fetal AI,25086,111,225,1667,corp,145,3,2,
31052,3,jinteki,0,"We could stop disasters before they happen, murderers before they act. Surely that's worth an android's sanity?",Dimik,,Initiative,,su21,52,3,corp,"When you score this agenda, place 1 agenda counter on it. Hosted agenda counter: End the run.",Nisei MK II,"When you score this agenda, place 1 agenda counter on it.
<strong>Hosted agenda counter:</strong> End the run.",Nisei MK II,agenda,False,,,,,4,2,,jinteki,Nisei MK II,31052,98,30,1927,corp,68,3,2,
33040,3,jinteki,0,"""Esteemed guests, by the end of this demonstration you will see that extinction is now only a temporary state of affairs.""
–Vientiane Keeling",Anthony Hutchings,,Research,,ms,40,3,corp,"When you score this agenda, if no Corp cards have been added to Archives this turn, you may reveal 1 facedown agenda in Archives and add it to your score area.",Regenesis,"When you score this agenda, if no Corp cards have been added to Archives this turn, you may reveal 1 facedown agenda in Archives and add it to your score area.",Regenesis,agenda,False,,,,,3,1,,jinteki,Regenesis,33040,38,215,1672,corp,6084,3,2,
